"site1"	"site2"	"ibd_binary"	"ibd_source_fontsere_etal_2022"	"nepra_proportion"
"73"	"Conkouati"	"Djouroutou"	0	"0"	0.000192477
"74"	"Dindefelo"	"Djouroutou"	1	"tableS9"	0.001150658
"75"	"Comoe"	"Djouroutou"	1	"tableS9"	0.002447765
"76"	"Budongo"	"Djouroutou"	0	"0"	9.33e-05
"77"	"Bafing"	"Djouroutou"	1	"tableS9"	0.000537076
"78"	"Boe"	"Djouroutou"	1	"tableS9"	0.001786355
"79"	"Comoe"	"East Nimba"	1	"tableS9"	0.004298661
"80"	"Dindefelo"	"East Nimba"	1	"tableS9"	0.00199034
"81"	"Bwindi"	"East Nimba"	0	"0"	0.000174111
"82"	"Djouroutou"	"East Nimba"	1	"tableS9"	0.001764041
"83"	"Bateke"	"East Nimba"	0	"0"	2.19e-05
"84"	"Boe"	"East Nimba"	1	"tableS9"	0.003381412
"85"	"Bafing"	"East Nimba"	0	"0"	0.001045039
"86"	"Bili-Uele"	"East Nimba"	0	"0"	8.35e-05
"87"	"Budongo"	"East Nimba"	0	"0"	0.000204603
"88"	"Conkouati"	"East Nimba"	0	"0"	0.000410275
"89"	"Boe"	"Gashaka"	0	"0"	0.002261787
"90"	"Bafing"	"Gashaka"	0	"0"	0.000236461
"91"	"Bwindi"	"Gashaka"	0	"0"	0.001215402
"92"	"Comoe"	"Gashaka"	0	"0"	0.00272896
"93"	"Dindefelo"	"Gashaka"	0	"0"	0.000460724
"94"	"Bili-Uele"	"Gashaka"	1	"fig3"	0.000632209
"95"	"Conkouati"	"Gashaka"	0	"0"	0.003569238
"96"	"East Nimba"	"Gashaka"	0	"0"	0.000592646
"97"	"Djouroutou"	"Gashaka"	0	"0"	0.000272383
"98"	"Bateke"	"Gashaka"	0	"0"	0.00032848
"99"	"Budongo"	"Gashaka"	0	"0"	0.001289995
"100"	"East Nimba"	"Gishwati"	0	"0"	0.000255488
"101"	"Bateke"	"Gishwati"	0	"0"	0.00012915
"102"	"Boe"	"Gishwati"	0	"0"	0.000538666
"103"	"Bili-Uele"	"Gishwati"	0	"0"	0.002169557
"104"	"Gashaka"	"Gishwati"	0	"0"	0.001407177
"105"	"Comoe"	"Gishwati"	0	"0"	0.000776194
"106"	"Bafing"	"Gishwati"	0	"0"	0.000103898
"107"	"Bwindi"	"Gishwati"	1	"tableS9"	0.005671427
"108"	"Budongo"	"Gishwati"	1	"tableS9"	0.004968738
"109"	"Conkouati"	"Gishwati"	0	"0"	0.0021372
"110"	"Djouroutou"	"Gishwati"	0	"0"	7.51e-05
"111"	"Dindefelo"	"Gishwati"	0	"0"	0.00018661
"112"	"Boe"	"Goualougo"	0	"0"	0.000327564
"113"	"Bili-Uele"	"Goualougo"	0	"0"	0.001090498
"114"	"Dindefelo"	"Goualougo"	0	"0"	0.00013755
"115"	"Bwindi"	"Goualougo"	0	"0"	0.001554731
"116"	"Bafing"	"Goualougo"	0	"0"	7.19e-05
"117"	"Djouroutou"	"Goualougo"	0	"0"	8.7e-05
"118"	"Conkouati"	"Goualougo"	0	"0"	0.006476687
"119"	"Budongo"	"Goualougo"	0	"0"	0.001533812
"120"	"Gashaka"	"Goualougo"	1	"fig3"	0.003845931
"121"	"Comoe"	"Goualougo"	0	"0"	0.00049836
"122"	"East Nimba"	"Goualougo"	0	"0"	0.000177325
"123"	"Bateke"	"Goualougo"	1	"tableS9"	0.000916499
"124"	"Gishwati"	"Goualougo"	0	"0"	0.001618099
"125"	"Conkouati"	"Grebo"	0	"0"	0.001358821
"126"	"Djouroutou"	"Grebo"	1	"tableS9"	0.002945269
"127"	"Budongo"	"Grebo"	0	"0"	0.000565051
"128"	"Bafing"	"Grebo"	1	"tableS9"	0.001417593
"129"	"Dindefelo"	"Grebo"	1	"tableS9"	0.003017443
"130"	"Goualougo"	"Grebo"	0	"0"	0.00039308
"131"	"Bateke"	"Grebo"	0	"0"	4.38e-05
"132"	"East Nimba"	"Grebo"	1	"tableS9"	0.004940809
"133"	"Gashaka"	"Grebo"	0	"0"	0.002695612
"134"	"Gishwati"	"Grebo"	0	"0"	0.000596987
"135"	"Boe"	"Grebo"	1	"tableS9"	0.006710939
"136"	"Comoe"	"Grebo"	1	"tableS9"	0.008706802
"137"	"Bwindi"	"Grebo"	0	"0"	0.000418124
"138"	"Bili-Uele"	"Grebo"	0	"0"	0.000182935
"139"	"Dindefelo"	"Issa-Ugalla"	0	"0"	0.000390366
"140"	"Bateke"	"Issa-Ugalla"	0	"0"	0.000213236
"141"	"Bili-Uele"	"Issa-Ugalla"	1	"tableS9"	0.001910639
"142"	"Comoe"	"Issa-Ugalla"	0	"0"	0.002434406
"143"	"East Nimba"	"Issa-Ugalla"	0	"0"	0.000530664
"144"	"Boe"	"Issa-Ugalla"	0	"0"	0.001968568
"145"	"Gishwati"	"Issa-Ugalla"	1	"tableS9"	0.006146414
"146"	"Goualougo"	"Issa-Ugalla"	0	"0"	0.001876746
"147"	"Conkouati"	"Issa-Ugalla"	0	"0"	0.003167883
"148"	"Djouroutou"	"Issa-Ugalla"	0	"0"	0.00024079
"149"	"Bwindi"	"Issa-Ugalla"	1	"tableS9"	0.005637236
"150"	"Budongo"	"Issa-Ugalla"	1	"tableS9"	0.004602615
"151"	"Bafing"	"Issa-Ugalla"	0	"0"	0.000165871
"152"	"Grebo"	"Issa-Ugalla"	0	"0"	0.00233763
"153"	"Gashaka"	"Issa-Ugalla"	0	"0"	0.003075926
"154"	"Djouroutou"	"Kabogo"	0	"0"	3.18e-05
"155"	"Goualougo"	"Kabogo"	0	"0"	0.000458344
"156"	"Budongo"	"Kabogo"	1	"tableS9"	0.000864142
"157"	"Bili-Uele"	"Kabogo"	0	"0"	0.000407901
"158"	"Bafing"	"Kabogo"	0	"0"	2.18e-05
"159"	"Conkouati"	"Kabogo"	0	"0"	0.000528455
"160"	"Dindefelo"	"Kabogo"	0	"0"	3.52e-05
"161"	"Comoe"	"Kabogo"	0	"0"	0.00010639
"162"	"Boe"	"Kabogo"	0	"0"	6.35e-05
"163"	"East Nimba"	"Kabogo"	0	"0"	4.08e-05
"164"	"Grebo"	"Kabogo"	0	"0"	8.15e-05
"165"	"Gashaka"	"Kabogo"	0	"0"	0.000245672
"166"	"Bateke"	"Kabogo"	0	"0"	6.7e-05
"167"	"Gishwati"	"Kabogo"	0	"0"	0.001218561
"168"	"Issa-Ugalla"	"Kabogo"	0	"0"	0.001369499
"169"	"Bwindi"	"Kabogo"	0	"0"	0.001125374
"170"	"Conkouati"	"Kayan"	0	"0"	0.001171571
"171"	"Bateke"	"Kayan"	0	"0"	5.99e-05
"172"	"Grebo"	"Kayan"	1	"tableS9"	0.00646495
"173"	"Bafing"	"Kayan"	1	"tableS9"	0.002169722
"174"	"Budongo"	"Kayan"	0	"0"	0.000512529
"175"	"East Nimba"	"Kayan"	1	"tableS9"	0.003258388
"176"	"Bwindi"	"Kayan"	0	"0"	0.00036238
"177"	"Gashaka"	"Kayan"	0	"0"	0.002282392
"178"	"Comoe"	"Kayan"	1	"tableS9"	0.006349488
"179"	"Issa-Ugalla"	"Kayan"	0	"0"	0.001935838
"180"	"Gishwati"	"Kayan"	0	"0"	0.000544537
"181"	"Kabogo"	"Kayan"	0	"0"	8.04e-05
"182"	"Bili-Uele"	"Kayan"	0	"0"	0.000151925
"183"	"Djouroutou"	"Kayan"	1	"tableS9"	0.001669074
"184"	"Boe"	"Kayan"	1	"tableS9"	0.007323525
"185"	"Goualougo"	"Kayan"	0	"0"	0.000376197
"186"	"Dindefelo"	"Kayan"	1	"tableS9"	0.004021099
"187"	"Comoe"	"Korup"	0	"0"	0.00069107
"188"	"Dindefelo"	"Korup"	0	"0"	0.000121725
"189"	"Boe"	"Korup"	0	"0"	0.000573694
"190"	"Bwindi"	"Korup"	0	"0"	0.000431299
"191"	"Budongo"	"Korup"	0	"0"	0.000446964
"192"	"East Nimba"	"Korup"	0	"0"	0.000175252
"193"	"Goualougo"	"Korup"	0	"0"	0.000893302
"194"	"Bili-Uele"	"Korup"	0	"0"	0.000179422
"195"	"Djouroutou"	"Korup"	0	"0"	0.000100856
"196"	"Bafing"	"Korup"	0	"0"	6.56e-05
"197"	"Bateke"	"Korup"	0	"0"	9.59e-05
"198"	"Grebo"	"Korup"	0	"0"	0.000664789
"199"	"Kabogo"	"Korup"	0	"0"	8.41e-05
"200"	"Gashaka"	"Korup"	1	"tableS9"	0.008510055
"201"	"Conkouati"	"Korup"	0	"0"	0.000995093
"202"	"Kayan"	"Korup"	0	"0"	0.000578404
"203"	"Issa-Ugalla"	"Korup"	0	"0"	0.000932425
"204"	"Gishwati"	"Korup"	0	"0"	0.000490053
"205"	"Boe"	"La Belgique"	0	"0"	3.53e-05
"206"	"Bili-Uele"	"La Belgique"	0	"0"	0.000198437
"207"	"Kabogo"	"La Belgique"	0	"0"	8.44e-05
"208"	"Goualougo"	"La Belgique"	1	"figS93"	0.002586074
"209"	"Bafing"	"La Belgique"	0	"0"	1.47e-05
"210"	"Kayan"	"La Belgique"	0	"0"	4.5e-05
"211"	"Dindefelo"	"La Belgique"	0	"0"	8.52e-06
"212"	"Bwindi"	"La Belgique"	0	"0"	0.000230076
"213"	"Grebo"	"La Belgique"	0	"0"	3.4e-05
"214"	"Gashaka"	"La Belgique"	0	"0"	0.000736619
"215"	"Djouroutou"	"La Belgique"	0	"0"	1.1e-05
"216"	"Conkouati"	"La Belgique"	0	"0"	0.001579689
"217"	"Budongo"	"La Belgique"	0	"0"	0.000234964
"218"	"Korup"	"La Belgique"	0	"0"	0.000171683
"219"	"Issa-Ugalla"	"La Belgique"	0	"0"	0.000284446
"220"	"Gishwati"	"La Belgique"	0	"0"	0.000224963
"221"	"East Nimba"	"La Belgique"	0	"0"	2.55e-05
"222"	"Bateke"	"La Belgique"	0	"0"	0.000259505
"223"	"Comoe"	"La Belgique"	0	"0"	4.98e-05
"224"	"Boe"	"Loango"	0	"0"	0.001080052
"225"	"Kabogo"	"Loango"	0	"0"	0.000505495
"226"	"Kayan"	"Loango"	0	"0"	0.001068775
"227"	"Gishwati"	"Loango"	0	"0"	0.001864593
"228"	"Issa-Ugalla"	"Loango"	0	"0"	0.002813545
"229"	"Dindefelo"	"Loango"	0	"0"	0.000243824
"230"	"La Belgique"	"Loango"	0	"0"	0.001245606
"231"	"Bwindi"	"Loango"	0	"0"	0.001657113
"232"	"Gashaka"	"Loango"	0	"0"	0.002974481
"233"	"Bili-Uele"	"Loango"	0	"0"	0.0009861
"234"	"East Nimba"	"Loango"	0	"0"	0.000297943
"235"	"Korup"	"Loango"	0	"0"	0.000837147
"236"	"Djouroutou"	"Loango"	0	"0"	0.000154629
"237"	"Bafing"	"Loango"	0	"0"	0.000119003
"238"	"Comoe"	"Loango"	0	"0"	0.001277445
"239"	"Bateke"	"Loango"	1	"tableS9"	0.002699102
"240"	"Grebo"	"Loango"	0	"0"	0.001218772
"241"	"Budongo"	"Loango"	0	"0"	0.001708485
"242"	"Conkouati"	"Loango"	1	"tableS9"	0.021344102
"243"	"Goualougo"	"Loango"	0	"0"	0.005760747
"244"	"Boe"	"Lope"	0	"0"	0.000193609
"245"	"Dindefelo"	"Lope"	0	"0"	7.45e-05
"246"	"Conkouati"	"Lope"	1	"tableS9"	0.011344438
"247"	"Korup"	"Lope"	0	"0"	0.000405002
"248"	"Bwindi"	"Lope"	0	"0"	0.000948229
"249"	"Kayan"	"Lope"	0	"0"	0.000246103
"250"	"Gishwati"	"Lope"	0	"0"	0.000994216
"251"	"Issa-Ugalla"	"Lope"	0	"0"	0.001179527
"252"	"La Belgique"	"Lope"	0	"0"	0.000875635
"253"	"Budongo"	"Lope"	0	"0"	0.00094257
"254"	"Comoe"	"Lope"	0	"0"	0.000302326
"255"	"Djouroutou"	"Lope"	0	"0"	5.97e-05
"256"	"Grebo"	"Lope"	0	"0"	0.000237654
"257"	"Bafing"	"Lope"	0	"0"	3.67e-05
"258"	"Bili-Uele"	"Lope"	0	"0"	0.000579114
"259"	"East Nimba"	"Lope"	0	"0"	0.000104072
"260"	"Goualougo"	"Lope"	1	"tableS9"	0.003821923
"261"	"Bateke"	"Lope"	1	"tableS9"	0.001916644
"262"	"Loango"	"Lope"	1	"tableS9"	0.010544436
"263"	"Gashaka"	"Lope"	0	"0"	0.001442043
"264"	"Kabogo"	"Lope"	0	"0"	0.000280066
"265"	"Dindefelo"	"Mbe"	0	"0"	0.000149925
"266"	"Djouroutou"	"Mbe"	0	"0"	9.21e-05
"267"	"Kayan"	"Mbe"	0	"0"	0.000410859
"268"	"Korup"	"Mbe"	1	"tableS9"	0.005392494
"269"	"Gishwati"	"Mbe"	0	"0"	0.000491919
"270"	"Conkouati"	"Mbe"	0	"0"	0.000876913
"271"	"East Nimba"	"Mbe"	0	"0"	0.000195808
"272"	"Issa-Ugalla"	"Mbe"	0	"0"	0.000690483
"273"	"Grebo"	"Mbe"	0	"0"	0.000473977
"274"	"Budongo"	"Mbe"	0	"0"	0.000440515
"275"	"Kabogo"	"Mbe"	0	"0"	9.75e-05
"276"	"Lope"	"Mbe"	0	"0"	0.00035087
"277"	"Comoe"	"Mbe"	0	"0"	0.000603053
"278"	"La Belgique"	"Mbe"	0	"0"	0.000180045
"279"	"Bateke"	"Mbe"	0	"0"	8.42e-05
"280"	"Loango"	"Mbe"	0	"0"	0.000713961
"281"	"Bili-Uele"	"Mbe"	0	"0"	0.000199419
"282"	"Boe"	"Mbe"	0	"0"	0.0004247
"283"	"Goualougo"	"Mbe"	0	"0"	0.000862572
"284"	"Bwindi"	"Mbe"	0	"0"	0.000388939
"285"	"Bafing"	"Mbe"	0	"0"	8.9e-05
"286"	"Gashaka"	"Mbe"	1	"tableS9"	0.008394008
"287"	"Korup"	"Mt. Cameroon"	1	"tableS9"	0.003098266
"288"	"Dindefelo"	"Mt. Cameroon"	0	"0"	2.56e-05
"289"	"Issa-Ugalla"	"Mt. Cameroon"	0	"0"	0.000104704
"290"	"Grebo"	"Mt. Cameroon"	0	"0"	6.63e-05
"291"	"Budongo"	"Mt. Cameroon"	0	"0"	0.000107111
"292"	"Djouroutou"	"Mt. Cameroon"	0	"0"	1.63e-05
"293"	"East Nimba"	"Mt. Cameroon"	0	"0"	2.79e-05
"294"	"Conkouati"	"Mt. Cameroon"	0	"0"	0.000296723
"295"	"Goualougo"	"Mt. Cameroon"	0	"0"	0.000341301
"296"	"Bafing"	"Mt. Cameroon"	0	"0"	9.38e-06
"297"	"Gishwati"	"Mt. Cameroon"	0	"0"	0.000103577
"298"	"Comoe"	"Mt. Cameroon"	0	"0"	6.75e-05
"299"	"Bateke"	"Mt. Cameroon"	0	"0"	3.82e-05
"300"	"La Belgique"	"Mt. Cameroon"	0	"0"	0.00010074
"301"	"Bili-Uele"	"Mt. Cameroon"	0	"0"	5.39e-05
"302"	"Kabogo"	"Mt. Cameroon"	0	"0"	3.68e-05
"303"	"Gashaka"	"Mt. Cameroon"	1	"tableS9"	0.003755086
"304"	"Boe"	"Mt. Cameroon"	0	"0"	3.96e-05
"305"	"Lope"	"Mt. Cameroon"	0	"0"	0.000119127
"306"	"Kayan"	"Mt. Cameroon"	0	"0"	6.4e-05
"307"	"Mbe"	"Mt. Cameroon"	1	"tableS9"	0.002505242
"308"	"Loango"	"Mt. Cameroon"	0	"0"	0.000197902
"309"	"Bwindi"	"Mt. Cameroon"	0	"0"	0.000104785
"310"	"Bateke"	"Mt. Cristal"	1	"tableS9"	0.00124888
"311"	"Djouroutou"	"Mt. Cristal"	0	"0"	0.000137502
"312"	"East Nimba"	"Mt. Cristal"	0	"0"	0.000274396
"313"	"Mt. Sangbe"	"Mt. Cristal"	0	"0"	0.000142376
"314"	"Grebo"	"Mt. Cristal"	0	"0"	0.000619132
"315"	"Conkouati"	"Mt. Cristal"	0	"0"	0.008890657
"316"	"Bafing"	"Mt. Cristal"	0	"0"	0.000128543
"317"	"Budongo"	"Mt. Cristal"	0	"0"	0.002155104
"318"	"Bili-Uele"	"Mt. Cristal"	1	"fig3"	0.00127007
"319"	"Dindefelo"	"Mt. Cristal"	0	"0"	0.000198237
"320"	"Goualougo"	"Mt. Cristal"	1	"tableS9"	0.010284423
"321"	"Issa-Ugalla"	"Mt. Cristal"	0	"0"	0.002633758
"322"	"Mbe"	"Mt. Cristal"	0	"0"	0.000985747
"323"	"Comoe"	"Mt. Cristal"	0	"0"	0.000804599
"324"	"Bwindi"	"Mt. Cristal"	0	"0"	0.002091885
"325"	"La Belgique"	"Mt. Cristal"	0	"0"	0.002503639
"326"	"Gashaka"	"Mt. Cristal"	0	"0"	0.003806619
"327"	"Loango"	"Mt. Cristal"	1	"tableS9"	0.00798284
"328"	"Kabogo"	"Mt. Cristal"	0	"0"	0.000600229
"329"	"Boe"	"Mt. Cristal"	0	"0"	0.000499836
"330"	"Gishwati"	"Mt. Cristal"	0	"0"	0.00234728
"331"	"Lope"	"Mt. Cristal"	1	"tableS9"	0.005183609
"332"	"Mt. Cameroon"	"Mt. Cristal"	0	"0"	0.000346818
"333"	"Korup"	"Mt. Cristal"	0	"0"	0.001016022
"334"	"Kayan"	"Mt. Cristal"	0	"0"	0.000583364
"335"	"La Belgique"	"Mt. Sangbe"	0	"0"	1.83e-05
"336"	"Bili-Uele"	"Mt. Sangbe"	0	"0"	5.4e-05
"337"	"Bateke"	"Mt. Sangbe"	0	"0"	9.26e-06
"338"	"East Nimba"	"Mt. Sangbe"	1	"tableS9"	0.00130728
"339"	"Bafing"	"Mt. Sangbe"	0	"0"	0.000402364
"340"	"Grebo"	"Mt. Sangbe"	1	"tableS9"	0.001946423
"341"	"Lope"	"Mt. Sangbe"	0	"0"	5.89e-05
"342"	"Comoe"	"Mt. Sangbe"	1	"figS93"	0.001899331
"343"	"Goualougo"	"Mt. Sangbe"	0	"0"	9.7e-05
"344"	"Issa-Ugalla"	"Mt. Sangbe"	0	"0"	0.00018464
"345"	"Conkouati"	"Mt. Sangbe"	0	"0"	0.000171265
"346"	"Gashaka"	"Mt. Sangbe"	0	"0"	0.000252663
"347"	"Kabogo"	"Mt. Sangbe"	0	"0"	2.96e-05
"348"	"Boe"	"Mt. Sangbe"	0	"0"	0.001272614
"349"	"Bwindi"	"Mt. Sangbe"	0	"0"	0.000106594
"350"	"Mt. Cameroon"	"Mt. Sangbe"	0	"0"	1.52e-05
"351"	"Kayan"	"Mt. Sangbe"	1	"tableS9"	0.001201084
"352"	"Loango"	"Mt. Sangbe"	0	"0"	0.000174461
"353"	"Budongo"	"Mt. Sangbe"	0	"0"	9.38e-05
"354"	"Djouroutou"	"Mt. Sangbe"	1	"tableS9"	0.000742512
"355"	"Gishwati"	"Mt. Sangbe"	0	"0"	0.000122207
"356"	"Mbe"	"Mt. Sangbe"	0	"0"	7.98e-05
"357"	"Dindefelo"	"Mt. Sangbe"	0	"0"	0.000748309
"358"	"Korup"	"Mt. Sangbe"	0	"0"	8.42e-05
"359"	"Bafing"	"Ngogo"	0	"0"	0.000233206
"360"	"Mt. Sangbe"	"Ngogo"	0	"0"	0.000299136
"361"	"Gashaka"	"Ngogo"	1	"fig3"	0.004322938
"362"	"Goualougo"	"Ngogo"	0	"0"	0.002824781
"363"	"Bili-Uele"	"Ngogo"	1	"tableS9"	0.003808475
"364"	"Boe"	"Ngogo"	0	"0"	0.002618971
"365"	"La Belgique"	"Ngogo"	0	"0"	0.000381661
"366"	"Bateke"	"Ngogo"	0	"0"	0.000275452
"367"	"Kabogo"	"Ngogo"	1	"figS93"	0.00155924
"368"	"Mt. Cameroon"	"Ngogo"	0	"0"	0.000186119
"369"	"East Nimba"	"Ngogo"	0	"0"	0.000733513
"370"	"Mt. Cristal"	"Ngogo"	1	"fig3"	0.003932884
"371"	"Bwindi"	"Ngogo"	1	"tableS9"	0.008389055
"372"	"Loango"	"Ngogo"	0	"0"	0.003855402
"373"	"Conkouati"	"Ngogo"	0	"0"	0.004479572
"374"	"Kayan"	"Ngogo"	0	"0"	0.002679091
"375"	"Mbe"	"Ngogo"	0	"0"	0.001121599
"376"	"Korup"	"Ngogo"	1	"fig3"	0.001279465
"377"	"Lope"	"Ngogo"	0	"0"	0.001768594
"378"	"Comoe"	"Ngogo"	0	"0"	0.003179294
"379"	"Gishwati"	"Ngogo"	1	"tableS9"	0.008181947
"380"	"Issa-Ugalla"	"Ngogo"	1	"tableS9"	0.01015256
"381"	"Dindefelo"	"Ngogo"	0	"0"	0.000493194
"382"	"Grebo"	"Ngogo"	0	"0"	0.003187404
"383"	"Djouroutou"	"Ngogo"	0	"0"	0.000320871
"384"	"Budongo"	"Ngogo"	1	"tableS9"	0.010657924
"385"	"Gashaka"	"Nyungwe"	0	"0"	0.001753207
"386"	"Ngogo"	"Nyungwe"	1	"tableS9"	0.010148573
"387"	"Goualougo"	"Nyungwe"	0	"0"	0.002068001
"388"	"Bafing"	"Nyungwe"	0	"0"	0.000108169
"389"	"Mt. Sangbe"	"Nyungwe"	0	"0"	0.000113638
"390"	"Bwindi"	"Nyungwe"	1	"tableS9"	0.007566537
"391"	"Bili-Uele"	"Nyungwe"	1	"tableS9"	0.002346586
"392"	"Boe"	"Nyungwe"	0	"0"	0.000546709
"393"	"Loango"	"Nyungwe"	0	"0"	0.002343769
"394"	"Kabogo"	"Nyungwe"	0	"0"	0.001696326
"395"	"Dindefelo"	"Nyungwe"	0	"0"	0.000197062
"396"	"Mbe"	"Nyungwe"	0	"0"	0.000622042
"397"	"Korup"	"Nyungwe"	0	"0"	0.000594234
"398"	"Mt. Cristal"	"Nyungwe"	0	"0"	0.003136068
"399"	"Kayan"	"Nyungwe"	0	"0"	0.000573418
"400"	"Djouroutou"	"Nyungwe"	0	"0"	0.000102548
"401"	"Gishwati"	"Nyungwe"	1	"tableS9"	0.008855743
"402"	"Issa-Ugalla"	"Nyungwe"	1	"tableS9"	0.008613767
"403"	"East Nimba"	"Nyungwe"	0	"0"	0.000267893
"404"	"Comoe"	"Nyungwe"	0	"0"	0.000825909
"405"	"Conkouati"	"Nyungwe"	0	"0"	0.002746577
"406"	"Lope"	"Nyungwe"	0	"0"	0.001401396
"407"	"Budongo"	"Nyungwe"	1	"tableS9"	0.005974199
"408"	"Grebo"	"Nyungwe"	0	"0"	0.000651036
"409"	"La Belgique"	"Nyungwe"	0	"0"	0.000302737
"410"	"Mt. Cameroon"	"Nyungwe"	0	"0"	0.000139631
"411"	"Bateke"	"Nyungwe"	0	"0"	0.000202928
"412"	"Loango"	"Outamba-Kilimi"	NA	"0"	9.35e-05
"413"	"Ngogo"	"Outamba-Kilimi"	NA	"0"	0.00014044
